post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47637828,Show HN: Tusk for macOS and Gnome,entertainment,116,45,factorialboy,2026-04-08 14:43:42.282509,0.38461538461538464,False
47682879,We need re-learn what AI agent development tools are in 2026,technology,6,0,healsdata,2026-04-08 14:43:42.282509,0.0,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,318,157,Bender,2026-04-08 14:43:42.282509,0.49216300940438873,True
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,27,11,brene,2026-04-08 14:43:42.282509,0.39285714285714285,False
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,312,89,player_piano,2026-04-08 14:43:42.282509,0.28434504792332266,True
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,65,12,4RH1T3CT0R,2026-04-08 14:43:42.282509,0.18181818181818182,False
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,305,189,keepamovin,2026-04-08 14:43:42.282509,0.6176470588235294,True
47660853,Book review: There Is No Antimemetics Division,entertainment,278,223,ibobev,2026-04-08 14:43:42.282509,0.7992831541218638,True
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,55,0,tosh,2026-04-08 14:43:42.282509,0.0,False
47674662,Show HN: A social feed with no algo where communities decide what gets seen,entertainment,9,5,smnkgv,2026-04-08 14:43:42.282509,0.5,False
47650502,Computational Physics (2nd Edition) (2025),science,183,22,teleforce,2026-04-08 14:43:42.282509,0.11956521739130435,True
47675709,Show HN: The King James Bible deserved a better website,entertainment,9,3,L23234,2026-04-08 14:43:42.282509,0.3,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,318,201,nevernothing,2026-04-08 14:43:42.282509,0.6300940438871473,True
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,31,30,fsloth,2026-04-08 14:43:42.282509,0.9375,False
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,entertainment,12,0,meribold,2026-04-08 14:43:42.282509,0.0,False
47637377,LÖVE: 2D Game Framework for Lua,sports,413,215,cl3misch,2026-04-08 14:43:42.282509,0.5193236714975845,True
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,18,6,nradov,2026-04-08 14:43:42.282509,0.3157894736842105,False
47662429,Show HN: Weird Clocks,entertainment,50,16,vunderba,2026-04-08 14:43:42.282509,0.3137254901960784,False
