post_id,title,category,score,num_comments,author,collected_at
47682956,The BSDs in the AI Age,technology,6,0,jaypatelani,2026-04-08 14:43:42.282509
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,93,17,Sean-Der,2026-04-08 14:43:42.282509
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,26,12,ashish004,2026-04-08 14:43:42.282509
47686106,Japan relaxes privacy laws to make itself the 'easiest country to develop AI',technology,10,1,jeffbobries,2026-04-08 14:43:42.282509
47684506,LLM scraper bots are overloading acme.com's HTTPS server,technology,53,50,mjyut,2026-04-08 14:43:42.282509
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,238,195,Zm44,2026-04-08 14:43:42.282509
47673541,AI may be making us think and write more alike,technology,221,231,giuliomagnifico,2026-04-08 14:43:42.282509
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-08 14:43:42.282509
47641528,Apollo Guidance Computer restoration videos,technology,89,11,mariuz,2026-04-08 14:43:42.282509
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,87,32,1659447091,2026-04-08 14:43:42.282509
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,458,194,MattHart88,2026-04-08 14:43:42.282509
47660925,Issue: Claude Code is unusable for complex engineering tasks with Feb updates,technology,1308,721,StanAngeloff,2026-04-08 14:43:42.282509
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,110,31,noone_youknow,2026-04-08 14:43:42.282509
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",technology,160,257,tantalor,2026-04-08 14:43:42.282509
47686058,Inside a huge compound where 10k workers scammed people globally,worldnews,5,0,ece,2026-04-08 14:43:42.282509
47683171,Show HN: Can an AI model fit on a single pixel?,technology,6,5,deevelton,2026-04-08 14:43:42.282509
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",technology,121,24,kitfunso,2026-04-08 14:43:42.282509
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,531,160,akyuu,2026-04-08 14:43:42.282509
47637828,Show HN: Tusk for macOS and Gnome,entertainment,116,45,factorialboy,2026-04-08 14:43:42.282509
47682879,We need re-learn what AI agent development tools are in 2026,technology,6,0,healsdata,2026-04-08 14:43:42.282509
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,318,157,Bender,2026-04-08 14:43:42.282509
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,27,11,brene,2026-04-08 14:43:42.282509
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,312,89,player_piano,2026-04-08 14:43:42.282509
